Package	Package Version	Is Latest	Poseidon Version	Description	Last modified	Nr Individuals
2021_Yaka_Anatolia	0.2.1	True	2.7.0	Variable kinship patterns in Neolithic Anatolia revealed by ancient genomes. Originally AADR v50.	2023-07-19	21
2021_Zegarac_SoutheasternEurope	1.2.0	True	2.7.1	This article provides provide insights into family structure and the heredity of social status in the early Bronze Age of southeastern Europe. Originally AADR v50.	2023-07-04	24
2022_Altinisik_UpperMesopotamia	1.0.0	True	2.7.1	13 ancient genomes from Neolithic Mesopotamia	2024-05-17	13
2022_GnecchiRuscone_CarpathianBasin	1.0.0	False	2.7.1	Ancient genomes reveal origin and rapid trans-Eurasian migration of 7th century Avar elites.	2023-10-23	66
2022_GnecchiRuscone_CarpathianBasin	1.0.1	True	2.7.1	Ancient genomes reveal origin and rapid trans-Eurasian migration of 7th century Avar elites.	2024-04-11	66
2022_Gretzinger_AngloSaxons	1.0.0	False	2.7.1	This article provides provide insights about the Anglo-Saxon migration and the formation of the early English gene pool	2023-10-04	487
2022_Gretzinger_AngloSaxons	1.1.0	False	2.7.1	This article provides provide insights about the Anglo-Saxon migration and the formation of the early English gene pool	2024-03-07	487
2022_Gretzinger_AngloSaxons	1.2.0	True	2.7.1	This article provides provide insights about the Anglo-Saxon migration and the formation of the early English gene pool	2024-07-15	487
2022_Yu_VanDeLoosdrecht_Sicily	1.0.0	True	2.7.1	Genotypes of ancient individuals from Grotta dell'Uzzo, excluding SNP sites on CpG islands	2023-11-23	20
2023_Carlhoff_Thailand	1.0.0	False	2.7.1	Genomic portrait and relatedness patterns of the Iron Age Log Coffin culture in northwestern Thailand	2024-06-19	33
2023_Carlhoff_Thailand	1.1.0	True	2.7.1	Genomic portrait and relatedness patterns of the Iron Age Log Coffin culture in northwestern Thailand	2024-07-15	33
2023_Koptekin_SouthwestAsia	1.0.0	False	2.7.1	Spatial and temporal heterogeneity in human mobility patterns in Holocene Southwest Asia and the East Mediterranean	2024-06-06	35
2023_Koptekin_SouthwestAsia	1.1.0	True	2.7.1	Spatial and temporal heterogeneity in human mobility patterns in Holocene Southwest Asia and the East Mediterranean	2024-07-15	35
2023_Peltola_VolgaOka	1.0.0	False	2.7.1	Genetic admixture and language shift in the medieval Volga-Oka interfluve	2022-12-15	31
2023_Peltola_VolgaOka	1.1.0	True	2.7.1	Genetic admixture and language shift in the medieval Volga-Oka interfluve	2024-03-12	31
2023_Penske_EarlyContact	1.0.0	True	2.7.1	Early contact between late farming and pastoralist societies in southeastern Europe	2023-11-14	130
2024_Allentoft_PostGlacial_WestEurasia	1.0.0	True	2.7.1	1240k pull-doen of imputed and pseudohaploid genotypes from Population genomics of post-glacial western Eurasia.	2024-08-15	631
2024_Ghalichi_Caucasus	1.0.0	True	2.7.1	The rise and transformation of Bronze Age pastoralists in the Caucasus	2024-10-11	131
2024_GnecchiRuscone_CarpathianBasinAvarPedigrees	1.0.0	False	2.7.1	Data from large pedigrees from several Avar-period sites in the Carpathian basin	2024-02-21	440
2024_GnecchiRuscone_CarpathianBasinAvarPedigrees	1.0.1	True	2.7.1	Data from large pedigrees from several Avar-period sites in the Carpathian basin	2024-05-02	440
2024_Gretzinger_EarlyCelts	1.0.0	False	2.7.1	Early Celtic individuals from Southwestern Germany, around 500 BC.	2024-06-03	35
2024_Gretzinger_EarlyCelts	1.1.0	True	2.7.1	Early Celtic individuals from Southwestern Germany, around 500 BC.	2024-07-15	35
2024_Wang_ViennaBasinAvarPeriod	1.0.0	True	2.7.1	Data from Avar and pre-Avar period samples from the Viennese basin	2024-04-22	749
Archaic_Humans	2.2.0	True	2.5.0	Genetic data of various archaic humans. Originally AADR v42.4.	2023-07-11	12
Reference_Genomes	2.2.0	True	2.5.0	Modern human and non-human reference genomes. Originally AADR v42.4.	2023-07-11	4
